ticker,tier
TTD,pool
TTWO,pool
TWLO,pool
TXN,pool
TZA,pool
U,pool
UAL,pool
UBER,pool
UDOW,pool
ULTA,pool
UNG,pool
UNP,pool
UPRO,pool
UPS,pool
UPST,pool
URA,pool
URI,pool
USB,pool
USD,pool
USO,pool
UVXY,pool
UYG,pool
VEA,pool
VIG,pool
VLO,pool
VRSK,pool
VRTX,pool
VST,pool
VWO,pool
VXUS,pool
VXX,pool
VYM,pool
VZ,pool
WBA,pool
WBD,pool
WDAY,pool
WDC,pool
WELL,pool
WEN,pool
WFC,pool
WM,pool
WULF,pool
WYNN,pool
XEL,pool
XLB,pool
XLC,pool
XLE,pool
XLF,pool
XLI,pool
XLK,pool
XLP,pool
XLRE,pool
XLU,pool
XLV,pool
XLY,pool
XPEV,pool
XYLD,pool
XYZ,pool
YANG,pool
YUM,pool
ZG,pool
ZM,pool
ZS,pool
ZTS,pool
