date,regime,NVDA,AMD,INTC,AVGO,STX,WDC,DELL,ANET,SNOW,VRT,MU,TSM,PSTG,ORCL,MRVL,HPE,PLTR,CSCO
2024-11-11,RISK_ON,0.12,,,0.1039,0.0567,0.0466,,0.0786,,,,0.0955,,0.1432,,0.1061,0.1374,0.112
2024-11-18,RISK_ON,0.1728,,,0.0428,,,,0.0655,,,,0.1795,,0.1436,,0.1322,0.1517,0.1119
2024-11-25,RISK_ON,0.1247,,,0.0435,,,,0.0988,,,,0.1957,,0.1667,,0.0826,0.1589,0.1292
2024-12-02,RISK_ON,0.2057,,,0.0461,,0.0537,,0.106,,,,0.0887,,0.1757,,0.0576,0.1412,0.1252
2024-12-09,RISK_ON,0.1253,,,0.1052,,0.0407,,0.1407,,,,0.1189,,0.0967,,0.1067,0.1451,0.1206
2024-12-16,RISK_ON,0.1168,,,0.1379,,,,0.139,,,,0.1457,,0.064,,0.0643,0.1958,0.1366
2024-12-23,RISK_ON,0.1669,,,,,,,0.1292,,,,0.1297,,0.0762,,0.0934,0.2489,0.1558
2024-12-30,RISK_ON,0.1449,,,0.0988,,,,0.1406,,,,0.1444,,0.053,,,0.2352,0.1831
2025-01-06,RISK_ON,0.1819,,,0.0584,,,,0.1368,,,,0.1642,,0.0512,,0.0512,0.2218,0.1345
2025-01-13,RISK_ON,0.0922,,,0.1107,,,,0.1196,,,,0.1313,,,,0.0957,0.262,0.1884
2025-01-27,RISK_ON,0.0618,,,0.181,,,,0.1356,,,,0.1027,,0.0555,,0.1475,0.1883,0.1277
2025-02-03,RISK_ON,,,,0.215,,,,0.215,,,,0.1845,,,,,0.215,0.1705
2025-02-10,RISK_ON,,,,0.1871,,,,0.1022,,,,0.1074,,,,,0.3455,0.2578
2025-02-24,RISK_ON,,,,0.1691,0.1415,,,0.1512,,,,0.0924,,,,,0.2429,0.2028
2025-03-03,RISK_ON,,,,0.5,,,,,,,,,,,,,,0.5
2025-03-10,RISK_OFF,,,,0.2473,,,,,,,,,,,,,,0.2527
2025-03-17,RISK_OFF,,,,0.2705,,,,,,,,,,,,,,0.2295
2025-03-24,RISK_OFF,,,,,,,,,,,,,,,,,,0.5
2025-03-31,RISK_OFF,,,,,,,,,,,,,,,,,,0.5
2025-04-07,DEFENSIVE,,,,,,,,,,,,,,,,,,
2025-04-14,RISK_OFF,,,,,,,,,,,,,,,,,,0.5
2025-04-21,RISK_OFF,,,,,,,,,,,,,,,,,,0.5
2025-04-28,RISK_OFF,,,,,,,,,,,,,,,,,,0.5
2025-05-05,RISK_OFF,,,,,,,,,,,,,,,,,,0.5
2025-05-12,RISK_OFF,,,,,,,,,,,,,,,,,,0.5
2025-05-19,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-06-02,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-06-09,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-06-16,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-06-23,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-06-30,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-07-07,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-07-14,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-07-21,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-07-28,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-08-04,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-08-11,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-08-18,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-08-25,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-09-08,RISK_ON,,,,,,,,,,,,,,,,,,
2025-09-15,RISK_ON,,,,,,,,,,,,,,,,,,
2025-09-22,RISK_ON,,,,,,,,,,,,,,,,,,
2025-09-29,RISK_ON,,,,,,,,,,,,,,,,,,
2025-10-06,RISK_ON,,,,,,,,,,,,,,,,,,
2025-10-13,RISK_ON,,,,,,,,,,,,,,,,,,
2025-10-20,RISK_ON,,,,,,,,,,,,,,,,,,
2025-10-27,RISK_ON,,,,,,,,,,,,,,,,,,
2025-11-03,RISK_ON,,,,,,,,,,,,,,,,,,
2025-11-10,RISK_ON,,,,,,,,,,,,,,,,,,
2025-11-17,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-11-24,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-12-01,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-12-08,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-12-15,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-12-22,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2025-12-29,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2026-01-05,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2026-01-12,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2026-01-26,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2026-02-02,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2026-02-09,RISK_ON,,,,,,,,,,,,,,,,,,1.0
2026-02-23,RISK_ON,,,,,,,,,,,,1.0,,,,,,
2026-03-02,RISK_ON,,,,,,,,,,,,1.0,,,,,,
2026-03-09,RISK_ON,,,,,0.5,,,,,,,0.5,,,,,,
2026-03-16,RISK_ON,,,,,0.5,,,,,,,0.5,,,,,,
2026-03-23,RISK_OFF,,,0.0738,,0.2057,,,0.0711,,,,0.1494,,,,,,
2026-03-30,RISK_OFF,,,0.0569,,0.0748,0.1507,,,,0.0952,0.0709,0.0515,,,,,,
2026-04-06,RISK_OFF,,,0.0508,,0.0996,0.081,,,,0.0946,,0.0443,,,0.0443,,,0.0854
2026-04-13,RISK_ON,,0.0545,0.0747,,0.1355,0.1661,,0.0556,,0.1855,,0.0781,,,0.1123,0.0682,,0.0696
2026-04-20,RISK_ON,,0.0557,0.0693,0.0557,0.1322,0.1559,,0.0961,,0.1559,,,,,0.1143,0.0807,,0.0843
2026-04-27,RISK_ON,,,0.0888,0.0738,0.1177,0.1473,,0.0532,,0.1449,,0.0694,,,0.1227,0.0986,,0.0834
2026-05-04,RISK_ON,,,0.0785,0.0774,0.1217,0.1492,,0.0578,,0.1401,,0.0682,,,0.1281,0.1076,,0.0713
2026-05-11,RISK_ON,,0.1179,0.1034,0.0946,0.1301,0.1525,,,,0.1228,,,,,0.1406,0.0787,,0.0594
2026-05-18,RISK_ON,,0.1424,0.1617,0.0816,0.0994,0.1108,,,,0.0851,,,,,0.12,0.0904,,0.1086
